,Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos telefonía fija por cada 100 hab,Accesos telefonía fija por cada 100 hogares,Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares
0,2014,1,Buenos Aires,"54,57","26,72","85,26","14,34","47,07"
1,2014,1,Capital Federal,"112,25","52,66","128,57","22,68","59,71"
2,2014,1,Catamarca,"24,25","10,03","39,45","4,64","18,25"
3,2014,1,Chaco,"20,72","9,09","34,02","7,79","29,18"
4,2014,1,Chubut,"41,24","17,66","57,59","12,34","40,33"
5,2014,1,Corrientes,"22,32","9,71","36,88","5,76","21,89"
6,2014,1,Córdoba,"52,52","21,09","68,88","14,48","47,34"
7,2014,1,Entre Ríos,"34,37","17,14","57,33","8,34","27,92"
8,2014,1,Formosa,"17,42","7,38","28,98","5,23","20,56"
9,2014,1,Jujuy,"18,42","7,81","30,56","8,98","35,13"
10,2014,1,La Pampa,"48,43","21,26","64,52","19,94","60,56"
11,2014,1,La Rioja,"16,29","10,98","41,24","6,92","26,04"
12,2014,1,Mendoza,"31,91","17,26","61,84","5,74","20,58"
13,2014,1,Misiones,"23,14","9,49","34,85","8,45","31,04"
14,2014,1,Neuquén,"49,79","15,27","51,29","17,34","58,31"
15,2014,1,Río Negro,"44,91","17,69","57,51","5,83","18,96"
16,2014,1,Salta,"28,7","10,76","44,44","9,36","38,71"
17,2014,1,San Juan,"27,6","12,71","49,89","5,75","22,60"
18,2014,1,San Luis,"9,35","10,92","38,17","3,59","12,56"
19,2014,1,Santa Cruz,"28,94","13,17","44,25","6,79","22,85"
20,2014,1,Santa Fe,"47,85","22,93","72,91","16,22","51,62"
21,2014,1,Santiago Del Estero,"16,31","7,73","31,15","10,13","40,84"
22,2014,1,Tierra Del Fuego,"63,97","22,23","74,98","20,17","68,18"
23,2014,1,Tucumán,"33,42","13,47","54,39","7,1","28,67"
24,2014,2,Buenos Aires,"55,06","26,61","84,74","15,04","49,35"
25,2014,2,Capital Federal,"113,14","52,56","127,68","22,7","59,78"
26,2014,2,Catamarca,"24,7","10,02","39,38","6,97","27,40"
27,2014,2,Chaco,"20,96","9,06","33,89","7,58","28,39"
28,2014,2,Chubut,"41,41","17,57","57,31","12,33","40,27"
29,2014,2,Corrientes,"22,58","9,69","36,8","8,34","31,71"
30,2014,2,Córdoba,"53,45","20,91","68,28","27,61","90,25"
31,2014,2,Entre Ríos,"34,69","17,12","57,25","11,32","37,90"
32,2014,2,Formosa,"17,54","7,37","28,95","8,11","31,90"
33,2014,2,Jujuy,"18,71","7,82","30,59","10,01","39,19"
34,2014,2,La Pampa,"49,71","21,45","65,09","22,58","68,57"
35,2014,2,La Rioja,"16,5","10,9","40,94","6,91","26,00"
36,2014,2,Mendoza,"32,1","17,2","61,64","6,24","22,38"
37,2014,2,Misiones,"23,37","9,45","34,7","9,74","35,78"
38,2014,2,Neuquén,"50,84","15,22","51,12","25,35","85,26"
39,2014,2,Río Negro,"45,33","17,62","57,28","8,43","27,45"
40,2014,2,Salta,"28,91","10,75","44,37","12,63","52,19"
41,2014,2,San Juan,"27,78","12,67","49,73","5,77","22,67"
42,2014,2,San Luis,"9,72","10,89","38,03","11,85","41,46"
43,2014,2,Santa Cruz,"29,38","13,11","44,04","14,95","50,33"
44,2014,2,Santa Fe,"48,39","22,8","72,51","19,29","61,40"
45,2014,2,Santiago Del Estero,"16,7","7,7","31,02","10,55","42,54"
46,2014,2,Tierra Del Fuego,"64,36","22,08","74,44","23,44","79,22"
47,2014,2,Tucumán,"33,94","13,49","54,47","7,64","30,88"
48,2014,3,Buenos Aires,"56,75","26,69","84,85","15,05","49,38"
49,2014,3,Capital Federal,"113,8","52,69","127,35","22,61","59,53"
50,2014,3,Catamarca,"24,71","10,02","39,39","7,01","27,57"
51,2014,3,Chaco,"21,11","9,35","34,97","7,57","28,35"
52,2014,3,Chubut,"40,6","17,57","57,32","12,31","40,21"
53,2014,3,Corrientes,"22,79","9,94","37,74","8,47","32,20"
54,2014,3,Córdoba,"54,23","20,74","67,73","27,65","90,40"
55,2014,3,Entre Ríos,"34,98","17,59","58,84","11,51","38,53"
56,2014,3,Formosa,"17,77","7,36","28,92","8,09","31,81"
57,2014,3,Jujuy,"18,37","7,82","30,59","10,29","40,27"
58,2014,3,La Pampa,"55,78","21,2","64,33","22,93","69,63"
59,2014,3,La Rioja,"16,51","10,83","40,69","6,78","25,51"
60,2014,3,Mendoza,"32,31","17,15","61,44","6,27","22,50"
61,2014,3,Misiones,"23,57","9,52","34,93","9,86","36,24"
62,2014,3,Neuquén,"56,4","15,16","50,92","25,36","85,28"
63,2014,3,Río Negro,"46,2","17,57","57,13","8,44","27,48"
64,2014,3,Salta,"29,22","10,72","44,27","12,68","52,40"
65,2014,3,San Juan,"27,85","12,72","49,91","5,85","23,00"
66,2014,3,San Luis,"9,71","10,78","37,67","11,67","40,81"
67,2014,3,Santa Cruz,"28,23","13,11","44,03","14,04","47,28"
68,2014,3,Santa Fe,"49,2","22,9","72,83","19,41","61,77"
69,2014,3,Santiago Del Estero,"16,49","7,69","30,98","10,65","42,95"
70,2014,3,Tierra Del Fuego,"65,69","21,97","74,08","23,64","79,91"
71,2014,3,Tucumán,"33,94","13,52","54,56","7,61","30,77"
72,2014,4,Buenos Aires,"56,09","26,96","85,55","15,13","49,65"
73,2014,4,Capital Federal,"114,9","52,93","127,29","22,64","59,62"
74,2014,4,Catamarca,"25,51","9,99","39,27","7,19","28,27"
75,2014,4,Chaco,"21,87","9,28","34,71","8,05","30,14"
76,2014,4,Chubut,"40,25","17,76","57,92","12,29","40,15"
77,2014,4,Corrientes,"23,56","9,89","37,55","8,61","32,71"
78,2014,4,Córdoba,"54,7","20,65","67,43","27,67","90,44"
79,2014,4,Entre Ríos,"36,03","17,51","58,56","11,61","38,85"
80,2014,4,Formosa,"17,96","7,31","28,73","8,12","31,92"
81,2014,4,Jujuy,"19,6","7,81","30,55","11,03","43,19"
82,2014,4,La Pampa,"51,27","21,41","64,99","23,46","71,25"
83,2014,4,La Rioja,"17,01","10,74","40,33","7,26","27,31"
84,2014,4,Mendoza,"32,64","17,49","62,68","6,23","22,35"
85,2014,4,Misiones,"24,16","9,47","34,75","9,59","35,23"
86,2014,4,Neuquén,"52,55","15,29","51,34","25,35","85,26"
87,2014,4,Río Negro,"45,48","17,8","57,87","8,43","27,43"
88,2014,4,Salta,"29,53","10,68","44,08","12,69","52,45"
89,2014,4,San Juan,"28,04","12,96","50,88","5,88","23,12"
90,2014,4,San Luis,"9,79","10,84","37,88","11,77","41,16"
91,2014,4,Santa Cruz,"27,8","13,17","44,26","14,13","47,59"
92,2014,4,Santa Fe,50,"22,79","72,46","19,35","61,59"
93,2014,4,Santiago Del Estero,"17,27","7,65","30,81","10,71","43,19"
94,2014,4,Tierra Del Fuego,"66,14","21,96","74,05","23,45","79,26"
95,2014,4,Tucumán,"35,32","13,47","54,39","7,63","30,85"
96,2015,1,Buenos Aires,"56,37","28,93","91,61","15,02","49,29"
97,2015,1,Capital Federal,"114,9","53,53","128,08","22,6","59,50"
98,2015,1,Catamarca,"25,11","9,89","38,89","7,08","27,85"
99,2015,1,Chaco,"26,65","9,15","34,24","8,01","30,01"
100,2015,1,Chubut,"37,61","18,51","60,38","12,09","39,51"
101,2015,1,Corrientes,"28,95","10,17","38,63","8,45","32,10"
102,2015,1,Córdoba,"54,7","20,51","66,99","27,32","89,31"
103,2015,1,Entre Ríos,"42,07","17,45","58,36","11,5","38,50"
104,2015,1,Formosa,"18,12","7,25","28,48",8,"31,44"
105,2015,1,Jujuy,"19,69","7,79","30,45",11,"43,05"
106,2015,1,La Pampa,"55,51","22,47","68,21","23,7","71,97"
107,2015,1,La Rioja,"16,7","10,63","39,92","6,95","26,13"
108,2015,1,Mendoza,"32,37","18,05","64,69","6,14","22,02"
109,2015,1,Misiones,"26,31","9,33","34,25","9,61","35,31"
110,2015,1,Neuquén,"51,95","15,58","52,35","17,94","60,33"
111,2015,1,Río Negro,"45,33","18,31","59,52","8,23","26,78"
112,2015,1,Salta,"30,01","10,62","43,84","12,62","52,15"
113,2015,1,San Juan,"27,55","13,36","52,44","5,95","23,36"
114,2015,1,San Luis,"9,72","10,97","38,34","11,67","40,83"
115,2015,1,Santa Cruz,"27,99","18,17","61,05","17,01","57,29"
116,2015,1,Santa Fe,"50,24","22,62","71,94","17,79","56,60"
117,2015,1,Santiago Del Estero,"17,06","7,58","30,54","10,59","42,69"
118,2015,1,Tierra Del Fuego,"74,23","22,15","74,68","23,24","78,55"
119,2015,1,Tucumán,"35,08","13,38","54,02","7,49","30,27"
120,2015,2,Buenos Aires,"56,8","28,03","88,59","15,14","49,69"
121,2015,2,Capital Federal,"116,07","54,18","128,99","22,7","59,77"
122,2015,2,Catamarca,"25,45","9,87","38,8","7,19","28,27"
123,2015,2,Chaco,"27,46","9,13","34,15",8,"29,95"
124,2015,2,Chubut,"36,58","19,01","62,01","12,13","39,62"
125,2015,2,Corrientes,"29,58","10,15","38,54","8,56","32,54"
126,2015,2,Córdoba,"55,87","20,32","66,35","27,44","89,71"
127,2015,2,Entre Ríos,"42,93","17,41","58,21","11,65","38,98"
128,2015,2,Formosa,"18,36","7,23","28,4",8,"31,46"
129,2015,2,Jujuy,"20,29","7,76","30,36","11,48","44,92"
130,2015,2,La Pampa,"56,71","22,79","69,15","24,16","73,38"
131,2015,2,La Rioja,"16,88","10,59","39,78","6,91","25,98"
132,2015,2,Mendoza,"32,49","18,6","66,63","6,19","22,20"
133,2015,2,Misiones,"27,35","9,3","34,15","9,78","35,93"
134,2015,2,Neuquén,"53,12","15,79","53,02","17,95","60,36"
135,2015,2,Río Negro,"45,98","18,83","61,2","8,33","27,10"
136,2015,2,Salta,"30,46","10,58","43,69","12,69","52,44"
137,2015,2,San Juan,"27,64","13,65","53,58","5,9","23,16"
138,2015,2,San Luis,"9,71","11,11","38,81","11,66","40,80"
139,2015,2,Santa Cruz,"27,07","18,42","61,89","16,9","56,91"
140,2015,2,Santa Fe,"51,18","22,52","71,61",18,"57,28"
141,2015,2,Santiago Del Estero,"17,11","7,56","30,46","10,64","42,89"
142,2015,2,Tierra Del Fuego,"74,51","22,5","75,85","23,67","80,01"
143,2015,2,Tucumán,"35,69","13,34","53,83","7,63","30,82"
144,2015,3,Buenos Aires,"57,69","28,24","89,06","15,04","49,36"
145,2015,3,Capital Federal,"118,29","53,27","126,17","23,44","61,71"
146,2015,3,Catamarca,"25,86","9,87","38,81","7,33","28,83"
147,2015,3,Chaco,"27,96","9,36","35,02","8,11","30,37"
148,2015,3,Chubut,"36,81","19,36","63,15","12,14","39,66"
149,2015,3,Corrientes,"30,17","10,34","39,25","8,63","32,80"
150,2015,3,Córdoba,"57,08","20,36","66,5","27,64","90,37"
151,2015,3,Entre Ríos,"43,68","17,77","59,44","11,63","38,91"
152,2015,3,Formosa,"18,84","7,21","28,31","8,01","31,50"
153,2015,3,Jujuy,"21,27","7,79","30,45","11,79","46,13"
154,2015,3,La Pampa,"57,96","22,89","69,47","25,1","76,23"
155,2015,3,La Rioja,"17,15","10,49","39,39","7,01","26,36"
156,2015,3,Mendoza,"32,49","18,97","67,97","6,23","22,35"
157,2015,3,Misiones,"28,31","9,5","34,87","9,96","36,62"
158,2015,3,Neuquén,"54,6","15,9","53,41","17,96","60,40"
159,2015,3,Río Negro,"46,39","19,11","62,12","8,17","26,60"
160,2015,3,Salta,"31,18","10,56","43,59","12,77","52,79"
161,2015,3,San Juan,"27,67","13,95","54,77","5,9","23,17"
162,2015,3,San Luis,"9,71","11,12","38,84","11,49","40,19"
163,2015,3,Santa Cruz,"27,61","18,64","62,62","17,15","57,76"
164,2015,3,Santa Fe,"52,15","22,54","71,68","18,06","57,46"
165,2015,3,Santiago Del Estero,"17,12","7,44","29,97","10,73","43,28"
166,2015,3,Tierra Del Fuego,"74,86","22,97","77,47","24,33","82,22"
167,2015,3,Tucumán,"36,61","13,37","53,98","7,7","31,12"
168,2015,4,Buenos Aires,"58,29","28,17","88,65","15,04","49,34"
169,2015,4,Capital Federal,"118,13","51,45","121,24","23,47","61,80"
170,2015,4,Catamarca,"26,24","9,85","38,74","7,4","29,10"
171,2015,4,Chaco,"28,35",9,"33,67","7,94","29,75"
172,2015,4,Chubut,"36,89","19,43","63,37","12,14","39,67"
173,2015,4,Corrientes,"30,34","10,01","38,03","8,82","33,52"
174,2015,4,Córdoba,"57,36","20,13","65,75","27,87","91,11"
175,2015,4,Entre Ríos,"44,11","17,24","57,67","11,69","39,12"
176,2015,4,Formosa,"19,07","7,15","28,08","8,01","31,48"
177,2015,4,Jujuy,"21,47","7,79","30,45","11,9","46,57"
178,2015,4,La Pampa,"58,76","23,15","70,27","25,41","77,17"
179,2015,4,La Rioja,"17,32","10,43","39,17","6,84","25,72"
180,2015,4,Mendoza,"32,49","19,06","68,31","6,2","22,23"
181,2015,4,Misiones,"28,69","9,35","34,31","10,02","36,83"
182,2015,4,Neuquén,"58,29","17,37","58,34","17,93","60,29"
183,2015,4,Río Negro,"46,44","19,22","62,47","8,09","26,33"
184,2015,4,Salta,"31,59","10,52","43,45","12,97","53,61"
185,2015,4,San Juan,"27,66","14,06","55,19","5,99","23,52"
186,2015,4,San Luis,"9,71","11,07","38,67","11,45","40,04"
187,2015,4,Santa Cruz,"27,74","16,32","54,85","17,16","57,80"
188,2015,4,Santa Fe,"52,61","22,24","70,73","18,06","57,46"
189,2015,4,Santiago Del Estero,17,"7,35","29,62","10,77","43,42"
190,2015,4,Tierra Del Fuego,"66,46","23,06","77,77","24,74","83,62"
191,2015,4,Tucumán,"37,06","13,35","53,87","7,86","31,76"
192,2016,1,Buenos Aires,"57,34","29,04","91,2","14,86","48,77"
193,2016,1,Capital Federal,"115,16","52,62","123,37","23,54","61,98"
194,2016,1,Catamarca,"25,91","9,68","38,05","7,29","28,68"
195,2016,1,Chaco,"28,08","8,86","33,16","7,91","29,61"
196,2016,1,Chubut,"36,09","21,36","69,67","11,82","38,61"
197,2016,1,Corrientes,"30,08","9,47","35,97","8,55","32,50"
198,2016,1,Córdoba,"55,28","19,56","63,87","27,7","90,54"
199,2016,1,Entre Ríos,"43,85","16,77","56,1","11,56","38,69"
200,2016,1,Formosa,"19,04","7,06","27,73","7,93","31,18"
201,2016,1,Jujuy,"21,41","7,69","30,07","11,52","45,09"
202,2016,1,La Pampa,"57,84","24,15","73,3","25,88","78,61"
203,2016,1,La Rioja,"16,83","10,18","38,23","6,5","24,43"
204,2016,1,Mendoza,"32,12","20,06","71,88","6,09","21,85"
205,2016,1,Misiones,"28,37","9,6","35,26","10,05","36,94"
206,2016,1,Neuquén,"55,75","16,27","54,66","17,66","59,38"
207,2016,1,Río Negro,"45,84","20,64","67,09","7,75","25,21"
208,2016,1,Salta,"31,32","10,35","42,75","12,61","52,13"
209,2016,1,San Juan,"27,33","15,32","60,16","5,65","22,19"
210,2016,1,San Luis,"9,59","11,19","39,11","11,39","39,83"
211,2016,1,Santa Cruz,"26,87","14,47","48,61","16,52","55,62"
212,2016,1,Santa Fe,"51,28","21,72","69,06","17,83","56,74"
213,2016,1,Santiago Del Estero,"16,21","6,9","27,79","10,54","42,51"
214,2016,1,Tierra Del Fuego,"65,83","25,11","84,69","24,84","83,95"
215,2016,1,Tucumán,"36,72","13,17","53,16","8,01","32,35"
216,2016,2,Buenos Aires,"59,34","29,22","91,58","14,94","49,04"
217,2016,2,Capital Federal,"120,04","51,66","121,27","23,47","61,80"
218,2016,2,Catamarca,"26,07","9,63","37,85","7,4","29,10"
219,2016,2,Chaco,"28,59","8,92","33,37","8,16","30,56"
220,2016,2,Chubut,"36,12",20,"65,24","12,61","41,20"
221,2016,2,Corrientes,"30,58","9,49","36,03","8,58","32,61"
222,2016,2,Córdoba,"57,55","19,52","63,75","27,88","91,15"
223,2016,2,Entre Ríos,"44,74","16,88","56,44","11,62","38,90"
224,2016,2,Formosa,"19,37","6,97","27,4","7,93","31,19"
225,2016,2,Jujuy,"21,89","7,66","29,96","11,58","45,33"
226,2016,2,La Pampa,"60,44","23,69","71,89","25,9","78,65"
227,2016,2,La Rioja,"16,88","10,17","38,19","6,54","24,59"
228,2016,2,Mendoza,"32,13","19,42","69,6","6,09","21,85"
229,2016,2,Misiones,"29,24","9,19","33,73","10,15","37,31"
230,2016,2,Neuquén,"59,1","15,75","52,92","17,65","59,37"
231,2016,2,Río Negro,"46,24","19,92","64,77","7,72","25,14"
232,2016,2,Salta,"32,08","10,31","42,56","12,9","53,30"
233,2016,2,San Juan,"27,34","14,37","56,4","5,67","22,30"
234,2016,2,San Luis,"9,6","11,03","38,53","11,18","39,10"
235,2016,2,Santa Cruz,"26,73","13,46","45,23","15,7","52,86"
236,2016,2,Santa Fe,"52,44","21,67","68,91","17,96","57,15"
237,2016,2,Santiago Del Estero,"15,89","7,04","28,38","10,56","42,59"
238,2016,2,Tierra Del Fuego,"67,72","24,32","82,01","24,33","82,24"
239,2016,2,Tucumán,"37,24","13,04","52,65","7,73","31,23"
240,2016,3,Buenos Aires,"60,14","28,33","88,63","14,97","49,12"
241,2016,3,Capital Federal,"120,77","52,45","123,09","23,43","61,70"
242,2016,3,Catamarca,"26,48","9,68","38,05","7,43","29,22"
243,2016,3,Chaco,"28,91","8,88","33,23","7,8","29,22"
244,2016,3,Chubut,"36,18","20,41","66,58","12,59","41,12"
245,2016,3,Corrientes,"31,07","9,48","35,98","8,59","32,63"
246,2016,3,Córdoba,"58,24","19,5","63,68","28,04","91,66"
247,2016,3,Entre Ríos,"45,44","16,81","56,22","11,65","39,00"
248,2016,3,Formosa,"18,64","7,04","27,67","7,93","31,19"
249,2016,3,Jujuy,"22,61","7,67","29,98","11,48","44,93"
250,2016,3,La Pampa,"61,73","23,88","72,49","26,25","79,73"
251,2016,3,La Rioja,"17,07","10,17","38,21","6,6","24,81"
252,2016,3,Mendoza,"32,09","19,77","70,85","6,1","21,88"
253,2016,3,Misiones,"29,91","9,17","33,68","10,17","37,38"
254,2016,3,Neuquén,"60,21","16,14","54,22","17,64","59,31"
255,2016,3,Río Negro,"46,39","20,25","65,84","7,69","25,03"
256,2016,3,Salta,"32,96","10,31","42,57","12,76","52,73"
257,2016,3,San Juan,"27,32","15,01","58,92","5,67","22,27"
258,2016,3,San Luis,"9,63","11,12","38,84","11,2","39,18"
259,2016,3,Santa Cruz,"26,84","13,51","45,4","15,54","52,32"
260,2016,3,Santa Fe,"52,67","21,57","68,6","17,94","57,10"
261,2016,3,Santiago Del Estero,"15,33","6,97","28,1","10,56","42,59"
262,2016,3,Tierra Del Fuego,"68,94","24,69","83,27","24,66","83,34"
263,2016,3,Tucumán,"37,9","13,08","52,81","7,77","31,40"
264,2016,4,Buenos Aires,"61,24","28,86","90,08","15,06","49,41"
265,2016,4,Capital Federal,"120,63","52,87","125,25","23,29","61,33"
266,2016,4,Catamarca,"26,54","9,61","37,79","7,52","29,58"
267,2016,4,Chaco,"28,79","8,79","32,9","7,65","28,63"
