,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros (tecnología),Total (tecnología),HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otros (velocidad),Total (velocidad)
0,2014,1,Buenos Aires,1.567.685,1.000.879,120.960,16.528,33.824,2.739.876,8.469,171.244,2.279.875,121.787,38.923,206.0,4.037,0.0,2.624.542
1,2014,1,Capital Federal,445.569,820.161,17.767,1.866,14.555,1.299.918,852.0,88.826,1.096.050,70.293,38.798,55.0,6.208,0.0,1.301.081
2,2014,1,Catamarca,24.126,46,17,- 0,43.0,24.232,19.0,9.147,13.330,1.672,64.0,0.0,0,0.0,24.232
3,2014,1,Chaco,52.971,9.497,30,- 0,58.0,62.556,438.0,15.849,40.869,4.644,741.0,5.0,0,0.0,62.546
4,2014,1,Chubut,51.066,539,866,10.776,6.974,70.221,7.452,10.0,61.329,0.0,0.0,0.0,0,0.0,68.791
5,2014,1,Corrientes,52.565,8.279,31,1.306,55.0,62.236,20.0,16.357,40.742,4.486,630.0,0.0,0,0.0,62.235
6,2014,1,Córdoba,336.841,225.769,347,3.585,368.0,566.910,2.076,107.705,423.114,24.112,9.818,40.0,588,0.0,567.453
7,2014,1,Entre Ríos,107.883,21.379,49,4.887,133.0,134.331,2.177,35.206,85.248,10.828,746.0,0.0,43,0.0,134.248
8,2014,1,Formosa,20.774,4.548,- 0,- 0,100.0,25.422,2.062,8.475,13.685,1.133,67.0,0.0,0,0.0,25.422
9,2014,1,Jujuy,29.765,4.030,23,- 0,9.0,33.827,1.832,11.498,18.415,2.002,56.0,0.0,0,0.0,33.803
10,2014,1,La Pampa,15.826,31.305,513,5.848,701.0,54.193,7.434,6.535,32.501,17.0,5.0,4.0,10,0.0,46.506
11,2014,1,La Rioja,15.663,- 0,14,- 0,34.0,15.711,10.0,5.111,9.390,1.165,35.0,0.0,0,0.0,15.711
12,2014,1,Mendoza,148.970,12.076,2.480,37,2.282,165.845,35.0,6.0,166.655,19.0,10.0,6.0,9,0.0,166.740
13,2014,1,Misiones,56.597,17.191,4,150,8.0,73.950,545.0,14.46,52.852,5.139,958.0,0.0,0,0.0,73.954
14,2014,1,Neuquén,47.790,28.161,997,10.381,3.051,90.380,4.133,987.0,77.148,84.0,1.582,2.0,22,0.0,83.958
15,2014,1,Río Negro,64.886,24.156,876,3.576,1.572,95.066,4.67,4.618,84.304,73.0,1.062,1.0,8,0.0,94.736
16,2014,1,Salta,73.131,17.538,45,8,568.0,91.290,53.0,19.677,64.061,7.192,314.0,0.0,0,0.0,91.297
17,2014,1,San Juan,48.161,434,722,808,1.173,51.298,531.0,2.0,51.056,0.0,0.0,0.0,0,0.0,51.589
18,2014,1,San Luis,11.306,428,354,21,448.0,12.557,7.0,3.0,12.544,0.0,1.0,0.0,2,0.0,12.557
19,2014,1,Santa Cruz,18.927,100,381,4.092,3.264,26.764,161.0,1.625,24.972,1.0,1.0,0.0,0,0.0,26.760
20,2014,1,Santa Fe,322.662,174.296,3.059,5.951,644.0,506.612,8.456,124.468,345.225,20.328,6.845,23.0,668,0.0,506.013
21,2014,1,Santiago Del Estero,32.567,3.598,19,915,34.0,37.133,1.234,10.531,22.817,2.422,109.0,0.0,0,0.0,37.113
22,2014,1,Tierra Del Fuego,21.618,2.837,648,1,2.934,28.038,12.0,607.0,30.902,6.0,0.0,0.0,0,0.0,31.527
23,2014,1,Tucumán,129.717,83,121,13,98.0,130.032,6.0,34.672,83.210,11.779,362.0,3.0,0,0.0,130.032
24,2014,2,Buenos Aires,1.568.881,1.025.490,120.008,17.020,33.147,2.764.546,6.902,162.274,2.288.772,140.226,56.549,284.0,4.309,0.0,2.659.316
25,2014,2,Capital Federal,447.637,828.411,17.729,1.883,14.555,1.310.215,847.0,81.431,1.078.213,87.359,56.004,59.0,6.427,0.0,1.310.340
26,2014,2,Catamarca,24.380,243,17,- 0,43.0,24.683,19.0,8.844,13.794,1.915,111.0,0.0,0,0.0,24.683
27,2014,2,Chaco,53.321,9.870,30,- 0,58.0,63.279,412.0,14.854,41.530,5.418,1.085,5.0,0,0.0,63.304
